"city","city_ascii","lat","lng","country","iso2","iso3","admin_name","capital","population","id"
"Cangas","Cangas","42.2642","-8.7819","Spain","ES","ESP","Galicia","","26807","1724669943"
"Jumilla","Jumilla","38.4792","-1.3250","Spain","ES","ESP","Murcia","","26784","1724151562"
"Bétera","Betera","39.5933","-0.4628","Spain","ES","ESP","Valencia","","26759","1724948157"
"Lamego","Lamego","41.1008","-7.8100","Portugal","PT","PRT","Viseu","minor","26691","1620221228"
"Molíns de Rey","Molins de Rey","41.4139","2.0158","Spain","ES","ESP","Catalonia","","26555","1724528554"
"Peniche","Peniche","39.3500","-9.3667","Portugal","PT","PRT","Leiria","minor","26431","1620744996"
"Estoril","Estoril","38.7042","-9.3983","Portugal","PT","PRT","Lisboa","","26399","1620528384"
"Montemor-o-Velho","Montemor-o-Velho","40.1667","-8.6833","Portugal","PT","PRT","Coimbra","minor","26171","1620287392"
"Tavira","Tavira","37.1167","-7.6500","Portugal","PT","PRT","Faro","minor","26167","1620756467"
"Odemira","Odemira","37.5833","-8.6333","Portugal","PT","PRT","Beja","minor","26066","1620717332"
"Santa Perpetua de Moguda","Santa Perpetua de Moguda","41.5375","2.1819","Spain","ES","ESP","Catalonia","","25928","1724312278"
"Ciempozuelos","Ciempozuelos","40.1592","-3.6183","Spain","ES","ESP","Madrid","","25866","1724341699"
"Calpe","Calpe","38.6450","0.0442","Spain","ES","ESP","Valencia","","25854","1724877295"
"Alboraya","Alboraya","39.5000","-0.3522","Spain","ES","ESP","Valencia","","25792","1724241743"
